Symbol,marketcap
EGRX,642597000
EHTH,1408620922
EIDX,625804509
EIGI,1022756989
EIGR,251679033
EKSO,131548738
ELGX,56475354
ELOX,471614044
ELSE,11069398
ELTK,4685955
EMB,17642494000
EMCB,41994000
EMCF,82861610
EMCG,33015000
EMCI,697087136
EMIF,33341880
EMITF,9098900
EMKR,116769367
EML,168767148
EMMS,50134234
EMXC,14775000
ENDP,2357863428
ENFC,171005618
ENG,24208199
ENOB,277815736
ENPH,827232672
ENSG,2845062223
ENT,242993785
ENTA,1937159430
ENTG,4905157658
ENTX,51884573
ENTXW,0
ENZL,161687500
EOLS,672328528
EPAY,2118661727
EPIX,23883088
EPZM,938141428
EQ,104257416
EQBK,538228678
EQIX,34450544441
EQRR,6486043
ERI,3771150000
ERIC,31320958130
ERIE,9256352433
ERII,440593532
ERYP,145832160
ESBK,55906781
ESCA,185261659
ESEA,6820846
ESGD,649688000
ESGE,506012000
ESGG,79719469
ESGR,3868525380
ESGRO,0
ESGRP,0
ESGU,162445265
ESIO,1032326606
ESLT,5708404861
ESND,481815450
ESPR,1247784033
ESQ,180785352
ESSA,193844950
ESTA,534201729
ESTR,107492137
ESTRW,0
ESXB,167541541
ETFC,12051149057
ETON,128537874
ETSY,6826470637
ETTX,75847466
EUFN,672660000
EVBG,2075606120
EVER,148157431
EVFM,89500678
EVFTC,52515750
EVGBC,62512500
EVGN,57947168
EVK,54028221
EVLMC,69958700
EVLO,306890462
EVLV,34632637
EVOK,54199628
EVOL,16357969
EVOP,2109524014
EVSTC,44991000
EWBC,8022141740
EWZS,92287500
EXAS,11311755577
EXEL,6434117065
EXFO,85475675
EXLS,2192428480
EXPD,13082327761
EXPE,18690224802
EXPI,680635885
EXPO,3000060870
EXTR,984283588
EYE,2599665132
EYEG,19115306
EYEGW,0
EYEN,53735621
EYES,60061334
EYESW,0
EYPT,258342078
EZPW,573858244
FAAR,24111054
FAB,91443111
FAD,181999253
FALN,64975250
FAMI,44474491
FANG,17069786269
FANH,1683097353
FARM,408230721
FARO,765858584
FAST,17916469607
FAT,67233100
FATE,930361283
FB,462032408722
FBIO,121860936
FBIOP,0
FBIZ,196857405
FBMS,484605479
FBNC,1167469022
FBSS,79323768
FBZ,147231031
FCA,9502554
FCAL,22651616
FCAN,9597448
FCAP,172673609
FCBC,578342412
FCBP,258325410
FCCO,151066832
FCCY,159210593
FCEF,36197150
FCEL,66606417
FCFS,3878598627
FCNCA,5247302094
FCSC,18833581
FCVT,158865061
FDBC,220640712
FDEF,625874846
FDIV,79310179
FDNI,3104621
FDT,1052924100
FDTS,9317575
FDUS,378689082
FDUSL,0
FEIM,98383516
FELE,2575243090
FEM,648975051
FEMB,82259077
FEMS,157652072
FENC,140066643
FEP,625993569
FEUZ,50635470
FEX,1380632119
FEYE,3323642814
FFBC,2750829437
FFBW,72013415
FFHL,6885038
FFIC,659854160
FFIN,4322866125
FFIV,10228664583
FFNW,174262373
FFWM,691912909
FGBI,184862603
FGEN,4845448753
FGM,153180083
FHB,3678022216
FHK,3714074
FIBK,2547720377
FID,12682534
FINX,0
FISI,483923020
FISV,33259625310
FITB,17995740730
FITBI,511740000
FIVE,6957154488
FIVN,3114913668
FIXD,473575100
FIXX,908897538
FIZZ,3418939409
FJP,165000100
FKO,2338647
FKU,11012203
FLAT,4477436
FLDM,525907166
FLEX,5532239983
FLF,43739091
FLGT,80447576
FLIC,588536431
FLIR,7277107220
FLKS,6035205
FLL,56826877
FLMN,654215100
FLMNW,0
FLN,27421462
FLNT,368927517
FLWS,1134318532
FLXN,551951225
FLXS,200568935
FMAO,295979590
FMB,593936106
FMBH,594047023
FMBI,2492366250
FMCI,253212285
FMCIU,0
FMCIW,0
FMHI,37875101
FMK,26040069
FMNB,409654080
FNCB,154019015
FNHC,241564736
FNJN,92817494
FNK,59251737
FNKO,946057190
FNLC,295075275
FNSR,2839997100
FNWB,184193597
FNX,888111137
FNY,231895837
FOANC,17493000
FOCS,2342813924
FOLD,2560110339
FOMX,193248790
FONE,14484697
FONR,145007552
FORD,15921531
FORK,46078199
FORM,1210701497
FORR,900963120
FORTY,610368986
FOSL,788815672
FOX,94387724096
FOXA,95019080110
FOXF,2342723599
FPA,34375063
FPAY,14348690
FPAYW,0
FPRX,417431548
FPXE,1861037
FPXI,22423314
FRAN,31756851
FRBA,215965585
FRBK,385065350
FRED,108914144
FRGI,441015704
FRME,2012978342
FRPH,541915461
FRPT,1389124639
FRSH,90929173
FRSX,48800266
FRTA,377528952
FSBC,34317848
FSBW,237831785
FSCT,1674626935
FSFG,122266689
FSLR,5631708714
FSNN,171616107
FSTR,188863436
FSV,3059632826
FSZ,161353895
FTA,1158482105
FTAC,0
FTACU,0
FTACW,0
FTAG,4530656
FTC,933934132
FTCS,1818440108
FTD,53343993
FTDR,2442501389
FTEK,30696643
FTEO,216988158
FTFT,26674691
FTGC,174863346
FTHI,60452059
FTLB,9758698
FTNT,14786430092
FTR,269149950
FTRI,8687725
FTSL,1610927595
FTSM,4118041432
FTSV,497033600
FTXD,7808545
FTXG,1886538
FTXH,4228042
FTXL,26877063
FTXN,14130038
FTXO,184731053
FTXR,2450049
FULT,3025329280
FUNC,121144574
FUND,180350734
FUSB,63358504
FUV,64037773
FV,2417142059
FVC,531926553
FVCB,245181556
FVE,49657996
FWONA,0
FWONK,7433758599
FWP,65838651
FWRD,1934640068
FYC,307588094
FYT,62407073
FYX,617407128
GABC,773991198
GAIA,209431626
GAIN,395510631
GAINL,0
GAINM,0
GALT,252933853
GARS,119888659
GASS,131938464
GBCI,3793333537
GBDC,1111769198
GBLI,556825478
GBLIL,0
GBLIZ,0
GBT,2649752087
GCBC,273210048
GCVRZ,0
GDEN,550013186
GDS,3666245372
GEC,91009853
GECC,90545409
GECCL,0
GECCM,0
GEMP,16833185
GENC,209974841
GENE,13799935
GENY,16123536
GEOS,226440659
GERN,272068176
GEVO,21946700
GFED,103192539
GFN,321587201
GFNCP,0
GFNSL,0
GGAL,4803917755
GH,4641869487
GHDX,2942965007
GIFI,152943861
GIGM,31498870
GIII,1772359129
GILD,84278680000
GILT,492105015
GLAC,58109100
GLACR,0
GLACU,0
GLACW,0
GLAD,272220315
GLADD,0
GLADN,0
GLBS,112777
GLBZ,32503513
GLDD,512331818
GLDI,36967495
GLG,1524927
GLIBA,5782354418
GLIBP,894862350
GLMD,173071543
GLNG,2206314000
GLPG,5347415034
GLPI,7951334392
GLRE,422809050
GLUU,1282060543
GLYC,505568300
GMDA,339120656
GMHIU,0
GMLP,956951275
GMLPP,0
GNCA,47375746
GNMA,112838000
GNMK,409033126
GNMX,13316071
GNPX,22491273
GNRX,3348150
GNTX,5271171885
GNTY,367908895
GNUS,19471200
GOGL,762928571
GOGO,365576242
GOOD,613375775
GOODM,0
GOODO,30072500
GOODP,26440100
GOOG,771914118527
GOOGL,776217322318
GPAQ,158906250
GPAQU,0
GPAQW,0
GPIC,105243709
GPOR,1395081543
GPP,496554724
GPRE,656418177
GPRO,874582388
GRBIC,9999000
GRBK,461043746
GRFS,13182464071
GRID,27249751
GRIF,165631157
GRIN,106757465
GRMN,15738559993
GRNQ,184390517
GROW,19525948
GRPN,1916256794
GRSH,499000000
GRSHU,0
GRSHW,0
GRTS,365011532
GRVY,328057569
GSBC,801948391
GSHD,1212475394
GSIT,179218395
GSKY,1959551990
GSM,362870902
GSUM,114391877
GSVC,135222857
GT,4493019613
GTHX,755971701
GTIM,33811501
GTLS,2745645327
GTXI,25494955
GTYH,347435428
GTYHW,0
GULF,17820000
GURE,47271829
GVP,61482619
GWGH,354945231
GWPH,4630312433
GWRS,206983293
GYRO,26777201
HA,1553739949
HABT,292272787
HAFC,723416141
HAIN,1836648435
HAIR,35062722
HALL,188713164
HALO,2430012298
HAS,10879643108
HAYN,436860471
HBAN,15000174721
HBANN,0
HBANO,20650180876
HBCP,336829374
HBIO,161109726
HBK,51895329
HBMD,260458267
HBNC,683849753
HBP,89056841
HCAP,64250996
HCAPZ,0
HCCH,69284188
HCCHR,0
HCCHU,0
HCCHW,0
HCCI,607139871
HCKT,490002718
HCM,3467535895
HCSG,2972583440
HDS,7879686205
HDSN,53249289
HEAR,220144046
HEBT,13830767
HEES,1072032630
HELE,2992292744
HEWG,196834500
HFBC,133582227
HFBL,57814692
HFFG,297044312
HFWA,1208731523
HGSH,47108785
HHHHU,0
HIBB,324753819
HIFS,410106498
HIHO,11937884
HIIQ,774330864
HIMX,660878385
HJLI,16990095
HJLIW,0
HLG,830056140
HLIT,482295780
HLNE,2288478872
HMHC,1115758196
HMNF,101552304
HMNY,18614334
HMST,760998860
HMSY,2960243617
HMTA,83893353
HMTV,541379068
HNDL,0
HNNA,83138643
HNRG,168085834
HOFT,369700061
HOLI,1325112494
HOLX,13680141458
HOMB,3440008000
HONE,528211263
HOPE,1873004298
HOVNP,10300000
HPJ,53369627
HPT,4574786984
HQCL,818358519
HQY,5015422609
HROW,157359111
HRTX,2117436501
HRZN,151885027
HSDT,186650506
HSGX,8063302
HSIC,9137114539
HSII,640992734
HSKA,747996381
HSON,49352924
HSTM,881513903
HTBI,506950656
HTBK,624656663
HTBX,44466287
HTGM,77223483
HTHT,10287761028
HTLD,1704144000
HTLF,1683881051
HUBG,1541217104
HUNT,194405344
HUNTU,0
HUNTW,0
HURC,290490415
HURN,1255346623
HVBC,35310124
HWBK,137993324
HWC,3746024820
HWCC,99801572
HWCPL,0
HWKN,453667216
HX,166775352
HYAC,422812500
HYACU,0
HYACW,0
HYGS,151693458
HYLS,1123138595
HYND,54416070
HYRE,58423125
HYXE,10106760
HYZD,252502920
HZNP,3553669398
IAC,18358904000
IART,4674652881
IBB,8131649500
IBCP,549171795
IBKC,4316828880
IBKCO,0
IBKCP,0
IBOC,2665390429
IBTX,2545826190
IBUY,273010000
ICAD,92412056
ICBK,131730974
ICCC,39985650
ICCH,45089758
ICFI,1404126532
ICHR,480932408
ICLK,295998032
ICLN,199308000
ICLR,7903552677
ICON,13587302
ICPT,2768244588
ICUI,5121475683
IDCC,2324285318
IDEX,201464032
IDLB,133000028
IDRA,77467093
IDSA,11351011
IDSY,131005706
IDTI,6274119520
IDXG,27173478
IDXX,18038354698
IEA,140902055
IEAWW,0
IEF,13210980000
IEI,7573472000
IEP,13067371611
IESC,401208464
IEUS,154475790
IFEU,31433765
IFGL,507228000
IFMK,14329187
IFRX,831270722
IFV,573300039
IGF,2745636000
IGIB,5523829500
IGLD,27443122
IGOV,902643000
IGSB,10182810000
